"","long","lat","group","order","region","subregion"
"325",-123.01976776123,47.5612258911133,60,14547,"washington","main"
"326",-123.071334838867,47.481014251709,60,14548,"washington","main"
"327",-123.094253540039,47.4122581481934,60,14549,"washington","main"
"328",-123.117164611816,47.3492317199707,60,14550,"washington","main"
"329",-123.077056884766,47.3377723693848,60,14551,"washington","main"
"330",-123.042686462402,47.3492317199707,60,14552,"washington","main"
"331",-123.002578735352,47.343505859375,60,14553,"washington","main"
"332",-122.899444580078,47.3721504211426,60,14554,"washington","main"
"333",-122.86506652832,47.3893394470215,60,14555,"washington","main"
"334",-122.807769775391,47.4237174987793,60,14556,"washington","main"
"335",-122.853614807129,47.429443359375,60,14557,"washington","main"
"336",-122.945289611816,47.3836097717285,60,14558,"washington","main"
"337",-122.996841430664,47.3778800964355,60,14559,"washington","main"
"338",-123.048416137695,47.3778800964355,60,14560,"washington","main"
"339",-123.059875488281,47.4007987976074,60,14561,"washington","main"
"340",-123.008308410645,47.4695510864258,60,14562,"washington","main"
"341",-122.996841430664,47.486743927002,60,14563,"washington","main"
"342",-122.968200683594,47.5153884887695,60,14564,"washington","main"
"343",-122.939552307129,47.5497703552246,60,14565,"washington","main"
"344",-122.870803833008,47.5956039428711,60,14566,"washington","main"
"345",-122.819229125977,47.6357116699219,60,14567,"washington","main"
"346",-122.721832275391,47.6586303710938,60,14568,"washington","main"
"347",-122.670265197754,47.7503051757812,60,14569,"washington","main"
"348",-122.618698120117,47.796142578125,60,14570,"washington","main"
"349",-122.584312438965,47.8362464904785,60,14571,"washington","main"
"350",-122.532760620117,47.8190574645996,60,14572,"washington","main"
"351",-122.532760620117,47.8591651916504,60,14573,"washington","main"
"352",-122.572868347168,47.9049987792969,60,14574,"washington","main"
"353",-122.572868347168,47.939380645752,60,14575,"washington","main"
"354",-122.52702331543,47.9107322692871,60,14576,"washington","main"
"355",-122.48119354248,47.8878135681152,60,14577,"washington","main"
"356",-122.452545166016,47.8305168151855,60,14578,"washington","main"
"357",-122.463996887207,47.8018684387207,60,14579,"washington","main"
"358",-122.429626464844,47.7503051757812,60,14580,"washington","main"
"359",-122.469734191895,47.7331161499023,60,14581,"washington","main"
"360",-122.504104614258,47.7560348510742,60,14582,"washington","main"
"361",-122.52702331543,47.7159233093262,60,14583,"washington","main"
"362",-122.549942016602,47.7044677734375,60,14584,"washington","main"
"363",-122.595779418945,47.738842010498,60,14585,"washington","main"
"364",-122.618698120117,47.7216529846191,60,14586,"washington","main"
"365",-122.595779418945,47.6987342834473,60,14587,"washington","main"
"366",-122.578590393066,47.6471710205078,60,14588,"washington","main"
"367",-122.561408996582,47.618522644043,60,14589,"washington","main"
"368",-122.561408996582,47.5841445922852,60,14590,"washington","main"
"369",-122.590049743652,47.5784149169922,60,14591,"washington","main"
"370",-122.618698120117,47.61279296875,60,14592,"washington","main"
"371",-122.65308380127,47.618522644043,60,14593,"washington","main"
"372",-122.647346496582,47.5784149169922,60,14594,"washington","main"
"373",-122.624420166016,47.5612258911133,60,14595,"washington","main"
"374",-122.65308380127,47.5440368652344,60,14596,"washington","main"
"375",-122.647346496582,47.5268516540527,60,14597,"washington","main"
"376",-122.595779418945,47.5268516540527,60,14598,"washington","main"
"377",-122.549942016602,47.5440368652344,60,14599,"washington","main"
"378",-122.515563964844,47.5612258911133,60,14600,"washington","main"
"379",-122.48119354248,47.5268516540527,60,14601,"washington","main"
"380",-122.463996887207,47.4981994628906,60,14602,"washington","main"
"381",-122.48119354248,47.4466361999512,60,14603,"washington","main"
"382",-122.498374938965,47.4179878234863,60,14604,"washington","main"
"383",-122.504104614258,47.3950691223145,60,14605,"washington","main"
"384",-122.515563964844,47.3893394470215,60,14606,"washington","main"
"385",-122.52702331543,47.343505859375,60,14607,"washington","main"
"386",-122.549942016602,47.3263130187988,60,14608,"washington","main"
"387",-122.532760620117,47.286205291748,60,14609,"washington","main"
"388",-122.52702331543,47.2575607299805,60,14610,"washington","main"
"389",-122.538482666016,47.2575607299805,60,14611,"washington","main"
"390",-122.578590393066,47.2747497558594,60,14612,"washington","main"
"391",-122.630157470703,47.286205291748,60,14613,"washington","main"
"392",-122.624420166016,47.3263130187988,60,14614,"washington","main"
"393",-122.590049743652,47.3606910705566,60,14615,"washington","main"
"394",-122.590049743652,47.3836097717285,60,14616,"washington","main"
"395",-122.658805847168,47.3492317199707,60,14617,"washington","main"
"396",-122.710372924805,47.3033981323242,60,14618,"washington","main"
"397",-122.716094970703,47.2747497558594,60,14619,"washington","main"
"398",-122.687454223633,47.2346420288086,60,14620,"washington","main"
"399",-122.704635620117,47.2117233276367,60,14621,"washington","main"
"400",-122.716094970703,47.1716156005859,60,14622,"washington","main"
